,SPY,GOOG,AAPL,XOM,IBM,Cash,port_val
2011-02-16,0.0,624220.0,0.0,0.0,637360.0,-205139.92499999964,1056440.0750000004
2011-02-17,0.0,625260.0,0.0,0.0,640640.0,-205139.92499999964,1060760.0750000004
2011-02-18,0.0,630080.0,0.0,0.0,643000.0,-205139.92499999964,1067940.0750000004
2011-02-22,0.0,610210.0,0.0,0.0,631720.0,-205139.92499999964,1036790.0750000004
2011-02-23,0.0,611320.0,0.0,0.0,624800.0,-205139.92499999964,1030980.0750000004
2011-02-24,0.0,608820.0,0.0,0.0,627120.0,-205139.92499999964,1030800.0750000004
2011-02-25,0.0,610040.0,0.0,0.0,633000.0,-205139.92499999964,1037900.0750000004
2011-02-28,0.0,613400.0,0.0,0.0,631440.0,-205139.92499999964,1039700.0750000004
2011-03-01,0.0,600760.0,0.0,0.0,624000.0,-205139.92499999964,1019620.0750000004
2011-03-02,0.0,600790.0,0.0,0.0,624720.0,-205139.92499999964,1020370.0750000004
2011-03-03,0.0,0.0,0.0,0.0,286956.0,750322.7550000004,1037278.7550000004
2011-03-04,0.0,0.0,0.0,0.0,284058.0,750322.7550000004,1034380.7550000004
2011-03-07,0.0,0.0,0.0,0.0,280728.0,750322.7550000004,1031050.7550000004
2011-03-08,0.0,0.0,0.0,0.0,284850.0,750322.7550000004,1035172.7550000004
2011-03-09,0.0,0.0,0.0,0.0,291132.0,750322.7550000004,1041454.7550000004
2011-03-10,0.0,0.0,0.0,0.0,284400.0,750322.7550000004,1034722.7550000004
2011-03-11,0.0,0.0,0.0,0.0,285120.0,750322.7550000004,1035442.7550000004
2011-03-14,0.0,0.0,0.0,0.0,283284.0,750322.7550000004,1033606.7550000004
2011-03-15,0.0,0.0,0.0,0.0,279126.0,750322.7550000004,1029448.7550000004
2011-03-16,0.0,0.0,0.0,0.0,268560.0,750322.7550000004,1018882.7550000004
2011-03-17,0.0,0.0,0.0,0.0,270630.0,750322.7550000004,1020952.7550000004
2011-03-18,0.0,0.0,0.0,0.0,273636.0,750322.7550000004,1023958.7550000004
2011-03-21,0.0,0.0,0.0,0.0,276768.0,750322.7550000004,1027090.7550000004
2011-03-22,0.0,0.0,0.0,0.0,277344.0,750322.7550000004,1027666.7550000004
2011-03-23,0.0,0.0,0.0,0.0,280026.0,750322.7550000004,1030348.7550000004
2011-03-24,0.0,0.0,0.0,0.0,280926.0,750322.7550000004,1031248.7550000004
2011-03-25,0.0,0.0,0.0,0.0,284670.0,750322.7550000004,1034992.7550000004
2011-03-28,0.0,0.0,0.0,0.0,283248.0,750322.7550000004,1033570.7550000004
2011-03-29,0.0,0.0,0.0,0.0,285912.0,750322.7550000004,1036234.7550000004
2011-03-30,0.0,0.0,0.0,0.0,287172.0,750322.7550000004,1037494.7550000004
2011-03-31,0.0,0.0,0.0,0.0,286236.0,750322.7550000004,1036558.7550000004
2011-04-01,0.0,0.0,0.0,0.0,288342.0,750322.7550000004,1038664.7550000004
2011-04-04,0.0,0.0,0.0,0.0,288306.0,750322.7550000004,1038628.7550000004
2011-04-05,0.0,0.0,0.0,0.0,287856.0,750322.7550000004,1038178.7550000004
2011-04-06,0.0,0.0,0.0,0.0,287946.0,750322.7550000004,1038268.7550000004
2011-04-07,0.0,0.0,0.0,0.0,288540.0,750322.7550000004,1038862.7550000004
2011-04-08,0.0,0.0,0.0,0.0,287964.0,750322.7550000004,1038286.7550000004
2011-04-11,0.0,0.0,0.0,0.0,287784.0,750322.7550000004,1038106.7550000004
2011-04-12,0.0,0.0,0.0,0.0,286560.0,750322.7550000004,1036882.7550000004
2011-04-13,0.0,0.0,0.0,0.0,287784.0,750322.7550000004,1038106.7550000004
2011-04-14,0.0,0.0,0.0,0.0,289566.0,750322.7550000004,1039888.7550000004
2011-04-15,0.0,0.0,0.0,0.0,291744.0,750322.7550000004,1042066.7550000004
2011-04-18,0.0,0.0,0.0,0.0,291276.0,750322.7550000004,1041598.7550000004
2011-04-19,0.0,0.0,0.0,0.0,290322.0,750322.7550000004,1040644.7550000004
2011-04-20,0.0,0.0,0.0,0.0,289188.0,750322.7550000004,1039510.7550000004
2011-04-21,0.0,0.0,0.0,0.0,295380.0,750322.7550000004,1045702.7550000004
2011-04-25,0.0,0.0,0.0,0.0,294318.0,750322.7550000004,1044640.7550000004
2011-04-26,0.0,0.0,0.0,0.0,295758.0,750322.7550000004,1046080.7550000004
2011-04-27,0.0,0.0,0.0,0.0,299052.0,750322.7550000004,1049374.7550000004
2011-04-28,0.0,0.0,0.0,0.0,299772.0,750322.7550000004,1050094.7550000004
2011-04-29,0.0,0.0,0.0,0.0,299412.0,750322.7550000004,1049734.7550000004
2011-05-02,0.0,0.0,0.0,0.0,302166.0,750322.7550000004,1052488.7550000004
2011-05-03,0.0,0.0,0.0,0.0,556314.0,496178.4550000003,1052492.4550000003
2011-05-04,0.0,0.0,0.0,0.0,549054.0,496178.4550000003,1045232.4550000003
2011-05-05,0.0,0.0,0.0,0.0,542124.0,496178.4550000003,1038302.4550000003
2011-05-06,0.0,0.0,0.0,0.0,545919.0,496178.4550000003,1042097.4550000003
2011-05-09,0.0,0.0,0.0,0.0,546612.0,496178.4550000003,1042790.4550000003
2011-05-10,0.0,0.0,0.0,0.0,550737.0,496178.4550000003,1046915.4550000003
2011-05-11,0.0,0.0,0.0,0.0,547899.0,496178.4550000003,1044077.4550000003
2011-05-12,0.0,0.0,0.0,0.0,556743.0,496178.4550000003,1052921.4550000003
2011-05-13,0.0,0.0,0.0,0.0,549252.0,496178.4550000003,1045430.4550000003
2011-05-16,0.0,0.0,0.0,0.0,545820.0,496178.4550000003,1041998.4550000003
2011-05-17,0.0,0.0,0.0,0.0,551133.0,496178.4550000003,1047311.4550000003
2011-05-18,0.0,0.0,0.0,0.0,550935.0,496178.4550000003,1047113.4550000003
2011-05-19,0.0,0.0,0.0,0.0,551430.0,496178.4550000003,1047608.4550000003
2011-05-20,0.0,0.0,0.0,0.0,550044.0,496178.4550000003,1046222.4550000003
2011-05-23,0.0,0.0,0.0,0.0,543906.0,496178.4550000003,1040084.4550000003
2011-05-24,0.0,0.0,0.0,0.0,543015.0,496178.4550000003,1039193.4550000003
2011-05-25,0.0,0.0,0.0,0.0,542256.0,496178.4550000003,1038434.4550000003
2011-05-26,0.0,0.0,0.0,0.0,540408.0,496178.4550000003,1036586.4550000003
2011-05-27,0.0,0.0,0.0,0.0,541431.0,496178.4550000003,1037609.4550000003
2011-05-31,0.0,0.0,0.0,0.0,546051.0,496178.4550000003,1042229.4550000003
2011-06-01,0.0,0.0,0.0,0.0,538395.0,496178.4550000003,1034573.4550000003
2011-06-02,0.0,0.0,0.0,0.0,536877.0,496178.4550000003,1033055.4550000003
2011-06-03,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-06,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-07,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-08,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-09,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-10,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-13,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-14,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-15,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-16,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-17,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-20,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-21,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-22,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-23,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-24,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-27,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-28,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-29,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-06-30,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
2011-07-01,0.0,0.0,0.0,0.0,0.0,1027011.9500000003,1027011.9500000003
